mean_dead,mean_recovered,mean_infected,min_dead,min_recovered,min_infected,last_dead,last_recovered,last_infected,sd_dead,sd_recovered,sd_infected,trend_dead,trend_recovered,trend_infected,max_dead,max_recovered,max_infected,snap_25_dead,snap_25_recovered,snap_25_infected,snap_50_dead,snap_50_recovered,snap_50_infected,snap_75_dead,snap_75_recovered,snap_75_infected,snap_100_dead,snap_100_recovered,snap_100_infected,snap_125_dead,snap_125_recovered,snap_125_infected,snap_150_dead,snap_150_recovered,snap_150_infected,snap_175_dead,snap_175_recovered,snap_175_infected,snap_200_dead,snap_200_recovered,snap_200_infected,snap_225_dead,snap_225_recovered,snap_225_infected,snap_250_dead,snap_250_recovered,snap_250_infected,snap_275_dead,snap_275_recovered,snap_275_infected,snap_300_dead,snap_300_recovered,snap_300_infected,snap_325_dead,snap_325_recovered,snap_325_infected,snap_350_dead,snap_350_recovered,snap_350_infected,snap_375_dead,snap_375_recovered,snap_375_infected,snap_400_dead,snap_400_recovered,snap_400_infected
123.716,0.0,8.542,0.0,0.0,0.0,135.0,0.0,0.0,35.098708580230884,0.0,36.01072390274833,0.12366030264121033,0.0,-0.08765079860319437,135.0,0.0,247.0,4.0,0.0,84.0,117.0,0.0,40.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0
125.622,0.038,5.638,0.0,0.0,0.0,144.0,0.0,0.0,45.18489920316282,0.19119623427253854,20.53160870462901,0.19140926163704639,-0.0003339373357493429,-0.05259001836007344,144.0,1.0,128.0,2.0,0.0,4.0,12.0,0.0,128.0,126.0,1.0,17.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0
266.944,1.816,12.086,0.0,0.0,0.0,298.0,2.0,0.0,84.54367429914642,0.6619244669899942,47.070995358075734,0.3315532622130483,0.002033576134304535,-0.11959617438469752,298.0,4.0,307.0,2.0,0.0,33.0,145.0,0.0,155.0,285.0,3.0,5.0,293.0,2.0,5.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0,298.0,2.0,0.0
281.53,1.778,10.592,0.0,0.0,0.0,320.0,2.0,0.0,98.25927488028725,0.6266705673637467,39.06437681571263,0.40435836943347764,0.0023379453517814036,-0.10045086580346323,320.0,3.0,221.0,4.0,0.0,8.0,55.0,1.0,215.0,304.0,1.0,11.0,319.0,2.0,1.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0,320.0,2.0,0.0
107.054,2.706,4.416,0.0,0.0,0.0,119.0,3.0,0.0,33.63615739052243,0.88292921573589,17.218680088787497,0.12843358573434285,0.003169788679154713,-0.04382849531398124,119.0,4.0,117.0,5.0,0.0,13.0,59.0,2.0,69.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0,119.0,3.0,0.0
342.606,3.488,13.434,0.0,0.0,0.0,392.0,4.0,0.0,123.25954228375153,1.3228212275285087,50.40446055658156,0.5160320641282562,0.005356725426901704,-0.1255898623594494,392.0,4.0,303.0,3.0,0.0,4.0,33.0,0.0,282.0,352.0,4.0,37.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0,392.0,4.0,0.0
278.878,1.834,11.13,0.0,0.0,0.0,309.0,2.0,0.0,85.58702656360954,0.5426269436730947,41.70459327220477,0.3247007068028269,0.0018140712562850247,-0.11175409501638012,309.0,3.0,263.0,6.0,0.0,59.0,184.0,1.0,112.0,306.0,2.0,3.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0,309.0,2.0,0.0
165.994,0.0,10.216,0.0,0.0,0.0,189.0,0.0,0.0,58.73859007501027,0.0,41.621837345316976,0.24165115860463424,0.0,-0.09577199908799638,189.0,0.0,284.0,1.0,0.0,2.0,16.0,0.0,210.0,177.0,0.0,11.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0,189.0,0.0,0.0
99.908,0.024,4.32,0.0,0.0,0.0,111.0,0.0,0.0,31.35314236244895,0.15304901175767355,17.395792594762703,0.11933970935883736,-0.00021888087552350202,-0.043013932055728225,111.0,1.0,113.0,3.0,0.0,10.0,56.0,0.0,56.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0,111.0,0.0,0.0
0.97,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.16497272501840865,0.0003492013968055852,0.0,-0.0003252493009972042,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
