mean_count lineageA,mean_count lineageB,mean_count lineageC,mean_count lineageD,mean_count turtles,min_count lineageA,min_count lineageB,min_count lineageC,min_count lineageD,min_count turtles,last_count lineageA,last_count lineageB,last_count lineageC,last_count lineageD,last_count turtles,sd_count lineageA,sd_count lineageB,sd_count lineageC,sd_count lineageD,sd_count turtles,trend_count lineageA,trend_count lineageB,trend_count lineageC,trend_count lineageD,trend_count turtles,max_count lineageA,max_count lineageB,max_count lineageC,max_count lineageD,max_count turtles,snap_50_count lineageA,snap_50_count lineageB,snap_50_count lineageC,snap_50_count lineageD,snap_50_count turtles,snap_100_count lineageA,snap_100_count lineageB,snap_100_count lineageC,snap_100_count lineageD,snap_100_count turtles,snap_150_count lineageA,snap_150_count lineageB,snap_150_count lineageC,snap_150_count lineageD,snap_150_count turtles
0.135,0.22,0.195,0.19,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7461735723007088,0.9957911427603618,0.852628289467341,0.9021640649017254,3.4164894262970997,-0.00393234830870772,-0.006306157653941349,-0.005571889297232429,-0.005479636990924778,-0.02129003225080628,5.0,5.0,5.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.36,2.125,0.515,1.48,8.48,4.0,1.0,0.0,1.0,6.0,4.0,2.0,0.0,1.0,7.0,0.7073895673530936,0.6851094803022361,1.0815613713516186,1.1788129622633046,3.4014114717275783,-0.008488712217805436,-0.00419635490887271,-0.012596564914122851,-0.012399309982749565,-0.03768094202355054,6.0,5.0,5.0,7.0,23.0,5.0,2.0,1.0,1.0,9.0,4.0,2.0,0.0,1.0,7.0,4.0,2.0,0.0,1.0,7.0
0.11,0.09,0.08,0.09,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6692533152700879,0.6417943595888008,0.6112282715974444,0.6098360435395722,2.4845723978181775,-0.003220580514512866,-0.0026505662641566046,-0.0023610590264756598,-0.0026475661891547314,-0.010879771994299858,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.11,0.135,0.175,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079186475107933,0.6840321629865102,0.6684122979120006,0.8627716963368622,3.113374375175585,-0.0060511512787819665,-0.0032235805895147393,-0.0038948473711842764,-0.005058876471911794,-0.018228455711392772,6.0,5.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.59,18.785,19.035,11.055,55.465,5.0,5.0,5.0,5.0,20.0,7.0,21.0,23.0,13.0,64.0,0.6417943595888003,3.803784299878231,6.321690833946258,3.0334757292584302,13.624565130674842,0.008914722868071686,0.051048526213155344,0.08858996474911873,0.04285382134553365,0.19140703517587943,7.0,21.0,23.0,13.0,64.0,6.0,17.0,14.0,9.0,46.0,7.0,21.0,23.0,13.0,64.0,7.0,21.0,23.0,13.0,64.0
23.64,20.765,25.34,23.47,93.215,5.0,5.0,5.0,5.0,20.0,29.0,25.0,31.0,29.0,114.0,8.683340371078426,7.08659121157695,9.173025673135308,9.093354716494927,33.91797126893057,0.12046801170029248,0.09670066751668796,0.12753618840471012,0.12471011775294386,0.46941498537463433,29.0,28.0,31.0,33.0,116.0,19.0,17.0,24.0,18.0,78.0,29.0,25.0,31.0,29.0,114.0,29.0,25.0,31.0,29.0,114.0
0.265,0.34,0.22,0.385,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2102788934786866,1.2224565431948797,0.9957911427603618,1.1902835796565543,4.480613797238066,-0.0076014400360008925,-0.009522238055951392,-0.006309157728943222,-0.01054451361284032,-0.03397734943373586,7.0,6.0,6.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.025,17.855,26.82,39.215,109.915,5.0,5.0,5.0,5.0,20.0,32.0,21.0,32.0,49.0,134.0,9.271158234007219,4.859421261837663,8.41888353643163,15.460232048711358,37.90973192994121,0.13178204455111378,0.0692004800120003,0.11731343283582091,0.21733218330458265,0.5356281407035176,32.0,21.0,32.0,49.0,134.0,19.0,14.0,23.0,25.0,81.0,32.0,21.0,32.0,49.0,134.0,32.0,21.0,32.0,49.0,134.0
0.155,0.17,0.155,0.145,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556288771612656,0.9006109037758722,0.8006091430904314,0.8086872077633009,3.239502276585093,-0.004478361959048973,-0.0049336233405835135,-0.0044963624090602295,-0.004221855546388659,-0.01813020325508138,5.0,6.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.195,103.0,54.5,65.515,283.21,5.0,5.0,5.0,5.0,20.0,76.0,133.0,70.0,85.0,364.0,24.578791162300828,46.3159799637231,24.05181905802553,29.698986093804663,124.54832756805698,0.3488524713117828,0.6593939848496213,0.34144903622590567,0.4249658741468538,1.7746613665341633,76.0,133.0,70.0,85.0,364.0,40.0,63.0,36.0,38.0,177.0,76.0,133.0,70.0,85.0,364.0,76.0,133.0,70.0,85.0,364.0
