run,seed,sigma,model,beta,delta,eta,mu,phi,varI.Y.l1,varI.I.l1,varI.const,varI.Y.l1.1,varI.I.l1.1,varI.const.1,varC.Y.l1,varC.C.l1,varC.const,varC.Y.l1.1,varC.C.l1.1,varC.const.1,varr.Y.l1,varr.r.l1,varr.const,varr.Y.l1.1,varr.r.l1.1,varr.const.1,varL.Y.l1,varL.L_s.l1,varL.const,varL.Y.l1.1,varL.L_s.l1.1,varL.const.1,lmfit..Intercept.,lmfit.C,lmfit.r,ar..Intercept.,ar.L.Y..1.5.1,ar.L.Y..1.5.2,ar.L.Y..1.5.3,ar.L.Y..1.5.4,ar.L.Y..1.5.5,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15
570,570,0.0139746139223943,rbc,0.914102539744873,0.0260710225877923,1.99726331606265,0.296201859802085,0.922976814824833,-0.114268003812396,0.796506997078587,-0.151756131048275,0.957639301808685,-0.0077875926182781,-0.0216338613010237,0.0764409448277907,0.896109294212345,-0.0105970754974335,0.858037004674926,0.0918147045154803,-0.0216338613010237,-0.0943260401294153,0.814455617027666,-0.0216338613010039,0.939690681859606,-0.0366793962652428,-0.0216338613010237,-0.0175658340147459,0.804294589697313,-0.0085410971000204,0.949851709189959,-0.118642747586276,-0.0216338613010237,-3.62597321469472e-16,1.12444053570079,0.44920691302467,-0.0217375031658425,1.00362024248121,-0.20184568923265,0.127593379715495,-0.0850259001759775,0.10316115212536,0.182896588227811,0.157187322745133,0.486005485842957,0.0136881037593537,0.0198957682752898,0.144792722375787,0.303318049695073,-0.0125186932917123,0.00959187639852196,2.63986660708858,0.32266283388241,0.141377313907818,0.0618081092377038,0.0202807957206563,0.00797392851449284
571,571,0.0250225700112851,rbc,0.911419792037951,0.0236512145227799,1.87617475587861,0.284293037146765,0.879773909215601,-1.5999915796786,0.960567436222328,-0.565634591000277,0.786821959142222,0.0137055757705364,-0.0670021831734341,0.143625309548989,0.766052157877305,-0.029205294235461,0.981337237487245,-0.180809702574486,-0.0670021831734341,-0.218197409796855,0.921057968400604,-0.0670021822076048,0.826331426963945,0.0761934459014566,-0.0670021831734341,-0.0857092394660246,0.946861854940087,-0.0296797486520743,0.800527540424464,0.230259493027811,-0.0670021831734341,-7.25194642938943e-17,1.16647048239077,0.491552191780602,-0.0735670282377996,0.855516651258986,0.0940767763262308,-0.073407168030015,-0.117655672490982,0.0567978843672408,0.177807906735579,0.117467766005101,0.973840345024996,0.0829723185863579,0.0473816813165565,0.093403454422904,0.434934255022696,0.0173234777707028,0.0188963343711677,8.08331545794701,0.949039354438721,0.423172322669908,0.12768734259351,0.0515503042625294,0.0223679240323476
572,572,0.0204478340615402,rbc,0.973938739969287,0.0245439741406403,2.04525395050184,0.312386454754772,0.959274698262239,-0.2359217426691,0.973242205369758,-0.0745831950335037,0.910977204428787,0.0122590721651875,-0.0203840326876187,0.0598551911572012,0.902063584084791,-0.00910710588798939,0.982155825713753,-0.0589195491197796,-0.0203840326876187,-0.085869029712943,0.951896971418995,-0.0203840326896771,0.932322438379551,0.0235095199730232,-0.0203840326876187,-0.0286271690358773,0.960983133289991,-0.00834554388600812,0.923236276508555,0.0796151159597962,-0.0203840326876187,-2.5381812502863e-16,1.1823308081516,0.471762431386794,-0.0121632044449215,0.921330310910793,-0.0445335985702999,0.108552866652986,-0.0784129352604279,0.0421665343930819,0.310932877097712,0.212374885302437,0.784622268960402,0.126833981144036,0.0729383157366822,0.166217087255682,0.43421848101921,0.0336001791245308,0.0341593004623754,2.46873285393484,0.57493425363542,0.259318007811548,0.184642626055724,0.0689981233126646,0.0286985966666849
573,573,0.0146939475435135,rbc,0.980941803578376,0.0268502520811831,1.98122574085989,0.304343465896673,0.982992186830767,-0.290374102854869,1.07724970192466,-0.122017772487715,0.869167890819674,0.050979805695127,-0.0436940982602526,0.12216113247132,0.833171695852363,-0.0230158853838753,1.11324589689197,-0.193098200377168,-0.0436940982602526,-0.0709852761351531,1.00753605301144,-0.0436940977388365,0.938881539732895,0.0726497964565906,-0.0436940982602526,-0.0259876901095916,1.02626990428462,-0.0152728991020047,0.920147688459713,0.26143864493154,-0.0436940982602526,-2.17558392881683e-16,1.10744078390404,0.416655087314157,-0.0308131662012985,0.967167496738937,0.0635187673727265,0.0422347937166822,-0.0166263845717829,-0.0989014711659119,0.463015324061288,0.341479607013932,0.92336090450034,0.203638172113719,0.0897661169379446,0.277370652230364,0.58430759797961,0.0823415710512984,0.0473507906631713,2.20760635087598,0.663078043601098,0.250424304241551,0.269886919767745,0.0895894982299857,0.0313279006525138
574,574,0.0280882516839332,rbc,0.977118524914258,0.0265231300475955,2.13159998243898,0.295050839148536,0.951438526452793,-0.0452079482787068,0.919361507032825,-0.0543943537257629,0.960307317429913,-0.00279320575093971,-0.0158456493955921,0.043249045454225,0.9339707526322,-0.006733081732699,0.945698071830538,0.0118160398484352,-0.0158456493955921,-0.0645893945296467,0.924260694075154,-0.0158456482185432,0.955408130387583,-0.00468922573721627,-0.0158456493955921,-0.014803083504695,0.922154712386098,-0.00684544112329778,0.95751411207664,-0.0157293689315554,-0.0158456493955921,7.47856975530785e-17,1.21688656963472,0.482924558041294,-0.0187102457073975,0.902568218758543,-0.0913860218236131,0.141287349574356,0.054957056858033,-0.0292149785214405,0.33584707983117,0.193012435648735,0.94007748671363,0.209086155252234,0.107298645501665,0.120702188951711,0.498904959368038,0.0955254029221279,0.0543200961777117,2.80636039888244,0.689479829903444,0.331412694283614,0.192250681460295,0.0853078380789619,0.0397979534536418
575,575,0.0243277089137351,rbc,0.96033894082182,0.0232851927132969,1.87304692042349,0.282031150172947,0.946956293251466,-0.655767844671499,1.08736644388545,-0.0790070108736843,0.8409807585444,0.0367288304364401,-0.0163532590871156,0.13985926235327,0.804389438709597,-0.00700821915733389,1.12395776372025,-0.246248174739413,-0.0163532590871156,-0.109348253016812,1.01527885586215,-0.0163532590895659,0.9130683465677,0.105359310478887,-0.0163532590871156,-0.0516246739201511,1.05063761342947,-0.0072503918985805,0.877709589000376,0.317389605616594,-0.0163532590871156,-5.43895982204207e-17,1.16766492157016,0.49959505745455,-0.00927910424008571,0.983091505173358,0.0154339411191308,0.0817312086618017,0.00228711474433987,-0.138338642958312,0.629139813466847,0.416177725674126,2.05694257180417,0.286599476759932,0.165227608174135,0.321430745941921,1.05140815756885,0.0817748660920892,0.0735098768205459,8.79854068970799,1.6598445792946,0.780148466494022,0.382537479717738,0.158914109411627,0.0711596206496958
576,576,0.0270889389775204,rbc,0.945377600733696,0.0254660078910727,1.88635826123552,0.299549368267595,0.91459561866297,-0.0906885056546648,0.910769391655816,-0.194956943572366,0.958640973763225,0.00414386098549599,-0.0341658985165837,0.107303318910605,0.873142629651222,-0.0142663163972289,0.99626773576782,-0.0334829010190988,-0.0341658985165837,-0.0643744032201478,0.901347258270958,-0.0341658999732558,0.968063107148083,0.0142235041273515,-0.0341658985165837,-0.0135068148535831,0.906625531702837,-0.0152187463814733,0.962784833716204,0.043781252213505,-0.0341658985165837,1.01527250011452e-15,1.18714206347213,0.504296806000084,-0.0383436479150031,1.02489192041455,-0.157994998111208,0.104781780795907,0.0887903754199286,-0.0973929177175438,0.74278852712116,0.629769666535202,1.65599467364395,-0.00959263327476533,0.086434258910148,0.579715868073797,1.03421044902746,-0.115875065283383,0.0382800158750132,6.68008687194409,0.849182350603626,0.475526402405895,0.253754394848767,0.08128237455966,0.0368272664878807
577,577,0.0191315392639278,rbc,0.959571218897722,0.0269079391381913,1.92401172872414,0.322991854783567,0.945414824952543,-0.0400343974486824,0.887006844787723,0.080608905506421,0.963951433938017,-0.0042953741708292,0.0184045715416065,0.0604260213628591,0.917620789461484,0.00825239061687322,0.933337489264257,0.0263185705029309,0.0184045715416065,-0.0677948366351728,0.89508104430972,0.0184045715416123,0.95587723441602,-0.010738811683848,0.0184045715416065,-0.0135708207314869,0.891302218958564,0.00749145192247173,0.959656059767176,-0.0356661021376106,0.0184045715416065,2.17558392881683e-16,1.16765164493765,0.47643891319722,0.0174113049898643,0.904603750552556,0.00928855865259064,-0.0153618279910856,0.213568222642663,-0.153951779601779,0.288973854418241,0.226070639961483,0.674393754687735,0.0524770313728732,0.0464172585540794,0.196017198574278,0.410213763365373,-0.00589616908281045,0.0221769009955274,2.29307456119337,0.410140678490733,0.194942517134252,0.124594572896851,0.0430744908918413,0.0178873361871437
578,578,0.0164696273339749,rbc,0.920256640135948,0.02286407359868,1.82424030707283,0.307325064214971,0.885072609998994,-0.656876370136615,0.918848355081542,0.205255845999819,0.895805313499266,0.00762038991575296,0.0254135854413867,0.138097437552015,0.817456177167809,0.010798655108447,0.997197491413,-0.0937717879979811,0.0254135854413867,-0.124553253411013,0.897241148325983,0.0254135839981969,0.917412520254826,0.0399397811834112,0.0254135854413868,-0.0398827334108194,0.911227958459687,0.0111817889773513,0.903425710121122,0.122562497032939,0.0254135854413867,5.43895982204207e-16,1.17530640967556,0.500592788386557,0.019720596389249,0.963187344606179,0.0465215630000022,-0.0300441014695017,-0.15812762023228,0.102691615808297,0.21973792204019,0.164709607936807,0.896882196944242,0.0522453872761672,0.0421018015732555,0.141940987032833,0.444886123314363,-0.00422407986613475,0.0174201182216489,6.45886530554124,0.747123596891204,0.345819275910847,0.114284457836895,0.0432044277740265,0.0188837968576889
579,579,0.0163551539295656,rbc,0.928987527302521,0.0251371576853789,2.14697417342928,0.294297420794712,0.949137401687918,-0.325327617183548,0.949686770094955,-0.0656660724164795,0.920455487407983,0.0125449107460754,-0.0109819059882418,0.154313720641226,0.808872099957721,-0.00563373982404253,1.06127015754522,-0.128269759391158,-0.0109819059882418,-0.0795140775222356,0.924674450816771,-0.0109819079088527,0.945467806686167,0.0499996979765708,-0.0109819059882418,-0.0233452344337606,0.937141932516596,-0.00413624588464946,0.933000324986342,0.165853000454514,-0.0109819059882418,-1.63168794661262e-16,1.10766110048391,0.431767555715936,-0.0123315675082815,0.988067062191062,-0.105077550851559,0.0953969006644182,0.0775054316172563,-0.102647128118968,0.330479754026701,0.267900230246858,0.97034564231649,0.0781371590452925,0.04839879059471,0.234044044324653,0.614074460581828,0.0200541852528744,0.0261842982152287,4.6131630113763,0.672026523735048,0.275538516830244,0.129523206175265,0.0449210732985028,0.0171805823586725
580,580,0.028374116366643,rbc,0.915990132651386,0.0259842846589536,2.00392116428982,0.284672646953969,0.950711356192449,-0.0708781078484423,0.884327549865041,-0.17165134118619,0.963124383902879,0.0044520740040321,-0.0263764328001251,0.152573340588893,0.828310238981563,-0.0138335903309665,1.01914169478636,-0.0515652368794471,-0.0263764328001251,-0.0526875666818878,0.875685616375556,-0.0263764328040804,0.971766317392365,0.0203310697806246,-0.0263764328001251,-0.0104231805874766,0.879875475859645,-0.00982453722238096,0.967576457908276,0.0658325810557645,-0.0263764328001251,-1.59542821446567e-15,1.08843960124284,0.429148450080786,-0.026567624978368,1.06059043687528,-0.106652287300378,0.0399864286555714,-0.00641750775327793,-0.0184245198004653,0.94576644663254,0.861143277166379,1.92589700489823,0.0197227822191197,0.0662834983490294,0.816773294844277,1.37504952551353,-0.0649311961268389,0.0347540474778497,8.30597530844681,1.00021017803588,0.431466916544416,0.210641486466093,0.0663076302974119,0.0246963369305493
